testing,pred
1,0.3693132026305143
0,0.3352757499736471
0,0.10477834427040239
0,-0.031491585608728
0,0.02974879043812495
0,0.3394106606949857
0,0.5890194894002385
0,0.23482063764015848
0,0.23765390723989754
1,0.38839756207461984
0,0.37340810183617945
0,0.15630802600326982
1,0.6113729815254917
1,0.42219581559738856
0,0.5506795953247705
0,0.15503998461618407
1,0.3864725743167979
0,0.216371272591603
0,0.12549233917619973
0,0.03665246582846382
0,0.3314854935053818
0,0.4952518365502381
0,0.002322240270675957
1,0.2615592648025358
0,0.1132737398945568
1,0.4056258524765779
0,0.1839621330748824
0,-0.03980425332345883
0,0.1675281068506505
0,-0.07667250711330853
0,0.5085000722871478
1,0.40164567780798066
0,-0.03265598163864947
0,0.23620455348367175
0,0.3983888226518233
0,0.15401192071174902
0,0.39570604638582446
0,0.23110083103949786
0,0.17553965428765567
0,0.5375764604444226
0,0.32728204943503103
0,0.5257228657397273
1,0.4125306208936048
0,0.5298794628743777
1,0.39664352195372954
0,0.34718937407100425
0,0.08479066790884537
1,0.6125437179199473
1,0.611037683659971
1,0.23468815489184017
0,-0.03328452285413808
0,0.07879574711553838
0,0.13457441292046485
0,0.22158063063424066
0,-0.08883525774791756
0,0.19119375004673378
0,0.08373999368422108
1,0.3968951641869252
0,0.3175126752633347
0,0.30873509300755536
0,0.13655691135044057
0,0.11957723010839272
0,0.11079987959324888
0,0.29038229938648685
0,0.319002431592485
0,0.336605849009074
0,0.13920249589270006
0,0.16193189771398914
0,-0.18997874182205554
0,0.33274973254572615
1,0.20043486831027701
0,0.11774202548508589
0,0.26695396471102706
0,0.4378939448126897
1,0.3973984486533165
0,0.22543689375583903
0,-0.13665116075449024
1,0.40993503740474146
0,0.4008426363356199
0,0.21008766469837253
1,0.5658616196756221
1,0.27263245843184747
0,0.26562750658232637
0,-0.14612497774288347
0,0.4127478744333991
0,0.32995350003630475
1,0.6090444525226952
0,0.22468924034371007
0,0.06162753635999396
0,0.24451217353519766
1,0.3667578750563249
0,0.16984952266975306
1,0.6484256162673185
0,0.0664110628462351
0,0.026187409163609177
0,0.3555068095994377
0,0.1774460109682503
1,0.35210975589035903
1,0.3602101043636442
0,0.16639562476989106
0,0.20755305130150487
1,0.3667827187181276
0,-0.030943836329900387
0,0.5009568599169738
0,0.289390598933837
0,0.35621970424503213
0,0.20097550001350828
0,0.1367015629208287
0,-0.20832953892434203
0,0.3006216505066365
0,0.16254580935801155
0,0.5205653835788994
0,0.1485023509066254
0,0.18473595283030253
0,0.21993013075370804
0,-0.015464385657920632
0,0.5464934661278964
1,0.585103548630163
0,0.3195380535878415
0,0.14037107605275628
0,0.1386904025950178
0,0.2587087820429794
0,0.28809185004818344
0,0.0968859279673785
1,0.21576400029771958
0,0.3533143418886714
0,0.14339736625690308
1,0.20048868511836343
0,0.05158905145559889
0,0.4705189520753448
1,0.5897294753679989
0,-0.0818402605149553
0,0.36546610555473436
0,0.26679639520059173
0,0.3876266026303562
0,0.07672525529707619
0,0.02808139551946831
